,user,datetime,text,link,image,gif
36,raradiohead,2023-07-01T04:30:00.000Z,"Radiohead
Electioneering$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1674998767811174406$/i/status/1539963734990458881$/raradiohead/status/1674998767811174406/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FV7U747aMAIlp5i.jpg$,blob:https://twitter.com/8cf6cf52-e7de-4789-bfed-2d4769ac160e$
37,raradiohead,2023-06-29T11:47:23.000Z,"Radiohead
How To Disappear Completely$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1674384062918828032$/i/status/1540314225721376768$/raradiohead/status/1674384062918828032/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FWBLeoVaUAMHFXh.jpg$,blob:https://twitter.com/54a35542-a302-4ac1-9d2c-0f02e7235fba$
38,raradiohead,2023-06-29T11:46:27.000Z,"Thank you so muchThis account is completely volunteer-run, so if you support Radiohead's promotional efforts, please support me.
https://paypal.me/raradioheadhttps://$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1674383824833359872$/raradiohead/status/1674383824833359872/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_mini.jpg$,$
39,raradiohead,2023-02-15T03:35:35.000Z,recognized by him(^-^)thank you unbelievable$,/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1625700322349035522$/raradiohead/status/1620398175667519490/photo/1$/raradiohead/status/1620398175667519490/photo/2$/raradiohead/status/1625700322349035522/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_mini.jpg$https://abs-0.twimg.com/emoji/v2/svg/1f607.svg$https://pbs.twimg.com/media/FnzPjNiakAA1fHE?format=jpg&name=medium$https://pbs.twimg.com/media/FnzPjYXacAABHw0?format=jpg&name=240x240$,$
40,raradiohead,2023-06-28T08:58:04.000Z,"This account is completely volunteer-run, so if you support Radiohead's promotional efforts, please support me.
https://$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1673979065186017280$https://t.co/nrcaHGzPdw$/raradiohead/status/1673979065186017280/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$,$
41,raradiohead,2023-06-28T03:40:28.000Z,"The Smile
Free In The Knowledge$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1673899138986172417$/i/status/1660654079293415430$/raradiohead/status/1673899138986172417/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/amplify_video_thumb/1538302019358052352/img/GGEDabo5v9RQZDg6.jpg$,blob:https://twitter.com/d128f563-fc5a-4cc1-afb6-3569ad2fece5$
42,raradiohead,2023-06-27T09:30:22.000Z,"Radiohead
Fake Plastic Trees$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1673624805432770562$/i/status/1540723605625262081$/raradiohead/status/1673624805432770562/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FWG_7v3aAAAfeNC.jpg$,blob:https://twitter.com/19033f97-9428-427b-a1c6-8cef2247ae52$
43,raradiohead,2023-06-26T10:44:08.000Z,"Radiohead
Lotus Flower (From the Basement)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1673280980805881856$/i/status/1540682991625990144$/raradiohead/status/1673280980805881856/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FWGa_rHaUAEYX-S.jpg$,blob:https://twitter.com/048b4a3a-4d30-41b0-a627-f632f1aae719$
44,raradiohead,2023-06-25T10:53:26.000Z,"Radiohead
(Nice Dream) acoustic$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1672920932103643137$/i/status/1539244203879825408$/raradiohead/status/1672920932103643137/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FVx-XA1WIAITqar.jpg$,blob:https://twitter.com/75b2cb95-a570-4e2a-b026-42487d345de3$
45,raradiohead,2023-06-24T06:30:59.000Z,"Radiohead
The Headmaster Ritual (The Smiths cover)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1672492496054792193$/i/status/1586009391727255557$/raradiohead/status/1672492496054792193/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/media/FgIrQ3SaUAYuxSk.jpg$,blob:https://twitter.com/ff34a02b-d972-4dac-aa65-328c904e5c1a$
46,raradiohead,2022-04-07T15:04:00.000Z,"Radiohead Twitter community
Radiohead Fans$",/raradiohead$/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1512083778709372935$/raradiohead$/i/communities/1512083161207173124$/i/communities/1512083161207173124$/raradiohead/status/1512083778709372935/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/community_banner_img/1512083378660855808/w0xhSEb4?format=jpg&name=360x360$https://pbs.twimg.com/profile_images/1604021775574114304/R7vpx3ED_normal.jpg$https://pbs.twimg.com/profile_images/1628575579174739969/dbFyIbDz_normal.jpg$https://pbs.twimg.com/profile_images/1308366819590311936/xXwodjWk_normal.jpg$https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$,$
47,raradiohead,2023-06-23T10:56:32.000Z,"Radiohead
Bullet Proof ... I Wish I Was
(acoustic,Japan 1995)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1672196936458469377$/i/status/1637479424420622336$/raradiohead/status/1672196936458469377/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1637479183239745537/pu/img/_mFIRnO_G3TbAlRH.jpg$,blob:https://twitter.com/33224b98-8f43-4453-94d7-d79d885eeedc$
48,raradiohead,2023-06-21T22:48:07.000Z,"Radiohead
Paranoid Android (acoustic 2002)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1671651235861237762$/i/status/1541013450524360704$/raradiohead/status/1671651235861237762/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1276958451982196736/pu/img/ZkApCc12mtn0uV25.jpg$,blob:https://twitter.com/1ce0d83f-2995-455e-a5af-b6c17ac69455$
49,raradiohead,2023-06-20T23:08:18.000Z,"Radiohead
Ceremony (Joy Division cover)$",/raradiohead$/raradiohead$/raradiohead$/raradiohead/status/1671293928220549122$/i/status/1538306072158834688$/raradiohead/status/1671293928220549122/analytics$,https://pbs.twimg.com/profile_images/698544776719659011/Uy_pkNr-_normal.jpg$https://pbs.twimg.com/ext_tw_video_thumb/1476590768861347842/pu/img/6is2JuK6NFnS_WRZ.jpg$,blob:https://twitter.com/db9daaf8-6c5c-4da7-ba5e-1c1d7d6af1d2$
